order_number,sales_channel,warehouse_code,warehouse_branch_code,warehouse_location,store_location,store_id,store_branch_id,customer_id,customer_gender,product_id,product_category,product_type,payment_type,procured_date,procured_date_year,procured_date_month,order_date,order_date_year,order_date_month,ship_date,ship_date_year,ship_date_month,delivery_date,delivery_date_year,delivery_date_month,salesteam_id,salesteam_category,salesteam_name,order_quantity,discount_applied,unit_cost,unit_price,sale_price,profit,holding_cost
16792,In-Store,0,0,null,"Los Angeles, CA",15,2001,1775,Male,4708,111,Fashion accessories,Cash,2020-09-10,2020,9,2020-09-15,2020,9,2020-09-19,2020,9,2020-09-24,2020,9,4708,1,Team Alpha,5,0.10,3092.72,3865.90,3479.31,386.59,8
16821,In-Store,0,0,null,"Los Angeles, CA",16,2001,1967,Female,4709,111,Fashion accessories,Credit Card,2021-10-17,2021,10,2021-10-27,2021,10,2021-11-06,2021,11,2021-11-10,2021,11,4709,1,Team Alpha,8,0.08,758.57,1025.10,948.22,189.65,6
16826,In-Store,0,0,null,"Los Angeles, CA",17,2001,2001,Male,4710,111,Fashion accessories,Ewallet,2022-02-02,2022,2,2022-02-20,2022,2,2022-02-22,2022,2,2022-03-08,2022,3,4710,1,Team Alpha,8,0.15,1123.52,2740.30,2329.26,1205.74,5
16861,In-Store,0,0,null,"Seattle, WA",18,3001,2187,Female,4711,111,Fashion accessories,Cash,2022-06-17,2022,6,2022-06-19,2022,6,2022-06-20,2022,6,2022-06-30,2022,6,4711,1,Team Alpha,3,0.20,556.10,1112.20,889.76,333.66,10
16874,In-Store,0,0,null,"Seattle, WA",19,3001,2239,Male,4712,111,Fashion accessories,Credit Card,2020-11-11,2020,11,2020-11-26,2020,11,2020-11-28,2020,11,2020-12-10,2020,12,4712,1,Team Alpha,7,0.08,2858.22,3618.00,3346.65,488.43,9
16875,In-Store,0,0,null,"Seattle, WA",20,3001,2241,Female,4713,111,Fashion accessories,Cash,2021-09-14,2021,9,2021-09-17,2021,9,2021-09-18,2021,9,2021-09-27,2021,9,4713,1,Team Alpha,6,0.08,1246.40,2351.70,2175.32,928.92,2
16881,In-Store,0,0,null,"Seattle, WA",21,3001,2283,Male,4714,111,Fashion accessories,Credit Card,2020-01-02,2020,1,2020-01-12,2020,1,2020-01-17,2020,1,2020-01-28,2020,1,4714,1,Team Alpha,1,0.08,1372.29,1782.20,1648.54,276.25,7
16888,In-Store,0,0,null,"Seattle, WA",22,3001,2337,Female,4715,111,Fashion accessories,Credit Card,2022-04-01,2022,4,2022-04-29,2022,4,2022-05-08,2022,5,2022-05-16,2022,5,4715,1,Team Alpha,4,0.15,621.76,1072.00,911.20,289.44,2
16902,In-Store,0,0,null,"Seattle, WA",23,3001,2408,Male,4716,111,Fashion accessories,Credit Card,2022-08-03,2022,8,2022-08-21,2022,8,2022-08-29,2022,8,2022-08-31,2022,8,4716,1,Team Alpha,7,0.05,696.80,1072.00,1018.40,321.60,5
16925,In-Store,0,0,null,"Seattle, WA",24,3001,2638,Female,4717,111,Fashion accessories,Credit Card,2022-04-02,2022,4,2022-04-19,2022,4,2022-04-23,2022,4,2022-05-08,2022,5,4717,1,Team Alpha,7,0.08,1153.47,1802.30,1667.13,513.66,4
16936,In-Store,0,0,null,"Seattle, WA",25,3001,2685,Female,4718,111,Fashion accessories,Credit Card,2022-08-04,2022,8,2022-08-07,2022,8,2022-08-09,2022,8,2022-08-20,2022,8,4718,1,Team Alpha,3,0.05,117.25,234.50,222.78,105.53,7
16947,In-Store,0,0,null,"Seattle, WA",26,3001,2770,Male,4719,111,Fashion accessories,Ewallet,2020-12-14,2020,12,2020-12-26,2020,12,2020-12-31,2020,12,2021-01-13,2021,1,4719,1,Team Alpha,3,0.10,1390.25,2780.50,2502.45,1112.20,7
16958,In-Store,0,0,null,"Seattle, WA",27,3001,2841,Female,4720,111,Fashion accessories,Credit Card,2022-06-19,2022,6,2022-07-09,2022,7,2022-07-14,2022,7,2022-07-27,2022,7,4720,1,Team Alpha,8,0.08,644.54,991.60,917.23,272.69,6
16965,In-Store,0,0,null,"Seattle, WA",28,3001,2867,Female,4721,111,Fashion accessories,Cash,2020-01-03,2020,1,2020-01-13,2020,1,2020-01-22,2020,1,2020-01-31,2020,1,4721,1,Team Alpha,8,0.08,110.75,194.30,179.73,68.98,5
16969,In-Store,0,0,null,"Seattle, WA",29,3001,2892,Female,4722,111,Fashion accessories,Ewallet,2021-12-15,2021,12,2021-12-28,2021,12,2021-12-31,2021,12,2022-01-14,2022,1,4722,1,Team Alpha,3,0.10,2303.46,5118.80,4606.92,2303.46,4
16975,In-Store,0,0,null,"Seattle, WA",30,3001,2943,Female,4723,111,Fashion accessories,Credit Card,2021-06-01,2021,6,2021-06-08,2021,6,2021-06-15,2021,6,2021-06-27,2021,6,4723,1,Team Alpha,7,0.08,454.46,891.10,824.27,369.81,6
16998,In-Store,0,0,null,"Seattle, WA",31,3001,3098,Male,4724,111,Fashion accessories,Cash,2020-03-30,2020,3,2020-04-23,2020,4,2020-04-25,2020,4,2020-05-09,2020,5,4724,1,Team Alpha,1,0.08,1398.96,3497.40,3235.10,1836.14,5
17007,In-Store,0,0,null,"Seattle, WA",32,3001,3146,Male,4725,111,Fashion accessories,Ewallet,2021-07-10,2021,7,2021-07-19,2021,7,2021-07-26,2021,7,2021-08-09,2021,8,4725,1,Team Alpha,6,0.05,1454.97,2385.20,2265.94,810.97,4
17022,In-Store,0,0,null,"Seattle, WA",33,3001,3228,Male,4726,111,Fashion accessories,Credit Card,2022-01-13,2022,1,2022-01-21,2022,1,2022-01-31,2022,1,2022-02-09,2022,2,4726,1,Team Alpha,6,0.10,525.55,991.60,892.44,366.89,1
17052,In-Store,0,0,null,"Houston, TX",34,1001,114,Male,4727,222,Food and beverages,Ewallet,2021-05-31,2021,5,2021-06-01,2021,6,2021-06-02,2021,6,2021-06-08,2021,6,4727,1,Team Alpha,8,0.10,1389.31,2894.40,2604.96,1215.65,8
17076,In-Store,0,0,null,"Houston, TX",35,1001,247,Female,4728,222,Food and beverages,Cash,2022-03-18,2022,3,2022-04-12,2022,4,2022-04-17,2022,4,2022-04-18,2022,4,4728,1,Team Alpha,8,0.08,1877.88,3832.40,3544.97,1667.09,6
17078,In-Store,0,0,null,"Houston, TX",36,1001,271,Male,4729,222,Food and beverages,Ewallet,2021-05-16,2021,5,2021-05-24,2021,5,2021-05-30,2021,5,2021-06-12,2021,6,4729,1,Team Alpha,5,0.08,679.58,1078.70,997.80,318.22,5
17090,In-Store,0,0,null,"Houston, TX",37,1001,341,Male,4730,222,Food and beverages,Cash,2022-04-15,2022,4,2022-04-26,2022,4,2022-04-30,2022,4,2022-05-04,2022,5,4730,1,Team Alpha,2,0.40,407.03,904.50,542.70,135.67,4
17091,In-Store,0,0,null,"Houston, TX",38,1001,343,Female,4731,222,Food and beverages,Cash,2021-09-11,2021,9,2021-10-01,2021,10,2021-10-02,2021,10,2021-10-15,2021,10,4731,1,Team Alpha,2,0.05,2383.86,3973.10,3774.45,1390.59,6
17103,In-Store,0,0,null,"Houston, TX",39,1001,389,Female,4732,222,Food and beverages,Credit Card,2021-01-29,2021,1,2021-02-01,2021,2,2021-02-04,2021,2,2021-02-12,2021,2,4732,1,Team Alpha,3,0.15,2816.95,6123.80,5205.23,2388.28,4
17148,In-Store,0,0,null,"Houston, TX",40,1001,627,Female,4733,222,Food and beverages,Ewallet,2022-04-06,2022,4,2022-04-19,2022,4,2022-04-22,2022,4,2022-04-23,2022,4,4733,1,Team Alpha,8,0.05,985.30,1728.60,1642.17,656.87,4
17160,In-Store,0,0,null,"Houston, TX",41,1001,700,Male,4734,222,Food and beverages,Cash,2020-05-11,2020,5,2020-05-12,2020,5,2020-05-22,2020,5,2020-05-24,2020,5,4734,1,Team Alpha,6,0.08,1396.28,3490.70,3228.90,1832.62,1
17166,In-Store,0,0,null,"Houston, TX",42,1001,733,Male,4735,222,Food and beverages,Ewallet,2020-09-24,2020,9,2020-10-07,2020,10,2020-10-17,2020,10,2020-10-29,2020,10,4735,1,Team Alpha,7,0.20,2869.21,5413.60,4330.88,1461.67,6
17180,In-Store,0,0,null,"Houston, TX",43,1001,818,Male,4736,222,Food and beverages,Credit Card,2020-12-24,2020,12,2021-01-05,2021,1,2021-01-09,2021,1,2021-01-15,2021,1,4736,1,Team Alpha,2,0.40,4343.88,5641.40,3384.84,-959.04,9
17197,In-Store,0,0,null,"Houston, TX",44,1001,950,Female,4737,222,Food and beverages,Cash,2020-10-21,2020,10,2020-11-07,2020,11,2020-11-10,2020,11,2020-11-15,2020,11,4737,1,Team Alpha,1,0.05,1196.69,2257.90,2145.01,948.32,7
17221,In-Store,0,0,null,"Los Angeles, CA",45,2001,1111,Female,4738,222,Food and beverages,Credit Card,2020-07-09,2020,7,2020-08-01,2020,8,2020-08-02,2020,8,2020-08-16,2020,8,4738,1,Team Alpha,2,0.05,750.40,938.00,891.10,140.70,8
17223,In-Store,0,0,null,"Los Angeles, CA",46,2001,1122,Female,4739,222,Food and beverages,Cash,2021-06-18,2021,6,2021-07-18,2021,7,2021-07-23,2021,7,2021-08-03,2021,8,4739,1,Team Alpha,2,0.10,621.43,1172.50,1055.25,433.82,3
17227,In-Store,0,0,null,"Los Angeles, CA",47,2001,1165,Male,4740,222,Food and beverages,Ewallet,2020-08-21,2020,8,2020-08-24,2020,8,2020-08-31,2020,8,2020-09-10,2020,9,4740,1,Team Alpha,7,0.08,1972.55,3343.30,3092.55,1120.00,4
17247,In-Store,0,0,null,"Los Angeles, CA",48,2001,1254,Female,4741,222,Food and beverages,Cash,2021-02-21,2021,2,2021-03-07,2021,3,2021-03-12,2021,3,2021-03-13,2021,3,4741,1,Team Alpha,7,0.15,1398.09,1815.70,1543.35,145.26,9
17261,In-Store,0,0,null,"Los Angeles, CA",49,2001,1378,Male,4742,222,Food and beverages,Credit Card,2022-08-04,2022,8,2022-08-20,2022,8,2022-08-26,2022,8,2022-09-10,2022,9,4742,1,Team Alpha,8,0.08,1697.11,1996.60,1846.86,149.75,2
17280,In-Store,0,0,null,"Los Angeles, CA",50,2001,1488,Female,4743,222,Food and beverages,Credit Card,2020-04-26,2020,4,2020-05-23,2020,5,2020-06-01,2020,6,2020-06-02,2020,6,4743,1,Team Alpha,1,0.08,989.93,1319.90,1220.91,230.98,4
17315,In-Store,0,0,null,"Los Angeles, CA",51,2001,1707,Female,4744,222,Food and beverages,Credit Card,2020-11-03,2020,11,2020-11-19,2020,11,2020-11-24,2020,11,2020-11-27,2020,11,4744,1,Team Alpha,4,0.05,718.78,998.30,948.39,229.61,6
17317,In-Store,0,0,null,"Los Angeles, CA",52,2001,1716,Male,4745,222,Food and beverages,Ewallet,2022-03-19,2022,3,2022-04-16,2022,4,2022-04-25,2022,4,2022-05-07,2022,5,4745,1,Team Alpha,8,0.15,449.57,737.00,626.45,176.88,6
17359,In-Store,0,0,null,"Los Angeles, CA",53,2001,2006,Male,4746,222,Food and beverages,Cash,2021-01-27,2021,1,2021-02-20,2021,2,2021-02-28,2021,2,2021-03-04,2021,3,4746,1,Team Alpha,6,0.10,2179.91,3892.70,3503.43,1323.52,3
17385,In-Store,0,0,null,"Los Angeles, CA",54,2001,2159,Female,4747,222,Food and beverages,Credit Card,2022-07-17,2022,7,2022-08-01,2022,8,2022-08-08,2022,8,2022-08-09,2022,8,4747,1,Team Alpha,2,0.05,1826.42,3886.00,3691.70,1865.28,2
17395,In-Store,0,0,null,"Seattle, WA",55,3001,2189,Male,4748,222,Food and beverages,Credit Card,2022-09-30,2022,9,2022-10-02,2022,10,2022-10-03,2022,10,2022-10-07,2022,10,4748,1,Team Alpha,7,0.15,681.79,1065.30,905.51,223.72,4
17414,In-Store,0,0,null,"Seattle, WA",56,3001,2309,Male,4749,222,Food and beverages,Cash,2020-12-28,2020,12,2021-01-24,2021,1,2021-01-30,2021,1,2021-02-14,2021,2,4749,1,Team Alpha,4,0.10,2407.18,3343.30,3008.97,601.79,5
17442,In-Store,0,0,null,"Seattle, WA",57,3001,2465,Male,4750,222,Food and beverages,Cash,2022-01-25,2022,1,2022-02-09,2022,2,2022-02-17,2022,2,2022-02-18,2022,2,4750,1,Team Alpha,4,0.08,1301.01,1782.20,1648.54,347.53,9
17447,In-Store,0,0,null,"Seattle, WA",58,3001,2511,Female,4751,222,Food and beverages,Cash,2021-01-27,2021,1,2021-02-11,2021,2,2021-02-15,2021,2,2021-02-22,2021,2,4751,1,Team Alpha,3,0.10,621.76,1072.00,964.80,343.04,7
17468,In-Store,0,0,null,"Seattle, WA",59,3001,2613,Female,4752,222,Food and beverages,Cash,2020-09-26,2020,9,2020-10-10,2020,10,2020-10-16,2020,10,2020-10-18,2020,10,4752,1,Team Alpha,8,0.08,498.61,817.40,756.10,257.49,4
17484,In-Store,0,0,null,"Seattle, WA",60,3001,2679,Male,4753,222,Food and beverages,Cash,2022-10-18,2022,10,2022-10-21,2022,10,2022-10-28,2022,10,2022-11-07,2022,11,4753,1,Team Alpha,1,0.15,458.08,1065.30,905.51,447.43,10
17501,In-Store,0,0,null,"Seattle, WA",61,3001,2771,Male,4754,222,Food and beverages,Cash,2020-10-13,2020,10,2020-11-07,2020,11,2020-11-12,2020,11,2020-11-21,2020,11,4754,1,Team Alpha,5,0.15,542.70,1005.00,854.25,311.55,7
17523,In-Store,0,0,null,"Seattle, WA",62,3001,2886,Male,4755,222,Food and beverages,Ewallet,2021-08-25,2021,8,2021-08-30,2021,8,2021-09-06,2021,9,2021-09-12,2021,9,4755,1,Team Alpha,3,0.15,3314.36,3993.20,3394.22,79.86,6
17526,In-Store,0,0,null,"Seattle, WA",63,3001,2897,Female,4756,222,Food and beverages,Cash,2022-03-02,2022,3,2022-03-30,2022,3,2022-04-06,2022,4,2022-04-10,2022,4,4756,1,Team Alpha,8,0.15,726.95,1038.50,882.73,155.78,3
17540,In-Store,0,0,null,"Seattle, WA",64,3001,2964,Male,4757,222,Food and beverages,Credit Card,2021-02-03,2021,2,2021-03-03,2021,3,2021-03-11,2021,3,2021-03-12,2021,3,4757,1,Team Alpha,5,0.10,2354.11,3859.20,3473.28,1119.17,4
17541,In-Store,0,0,null,"Seattle, WA",65,3001,2966,Female,4758,222,Food and beverages,Credit Card,2020-11-04,2020,11,2020-12-04,2020,12,2020-12-11,2020,12,2020-12-17,2020,12,4758,1,Team Alpha,3,0.15,4481.50,6224.30,5290.66,809.16,3
17553,In-Store,0,0,null,"Seattle, WA",66,3001,3062,Female,4759,222,Food and beverages,Credit Card,2021-08-10,2021,8,2021-08-19,2021,8,2021-08-25,2021,8,2021-09-08,2021,9,4759,1,Team Alpha,3,0.20,501.16,911.20,728.96,227.80,5
17569,In-Store,0,0,null,"Seattle, WA",67,3001,3156,Female,4760,222,Food and beverages,Credit Card,2020-04-13,2020,4,2020-05-09,2020,5,2020-05-12,2020,5,2020-05-23,2020,5,4760,1,Team Alpha,4,0.15,2237.13,5326.50,4527.53,2290.40,8
17607,In-Store,0,0,null,"Houston, TX",68,1001,54,Male,4761,333,Electronic accessories,Credit card,2021-07-24,2021,7,2021-08-10,2021,8,2021-08-17,2021,8,2021-08-21,2021,8,4761,1,Team Alpha,8,0.05,458.08,1065.30,1012.04,553.96,10
17638,In-Store,0,0,null,"Houston, TX",69,1001,221,Female,4762,333,Electronic accessories,Credit card,2020-07-14,2020,7,2020-07-26,2020,7,2020-08-02,2020,8,2020-08-07,2020,8,4762,1,Team Alpha,4,0.05,3219.48,3926.20,3729.89,510.41,9
17645,In-Store,0,0,null,"Houston, TX",70,1001,248,Male,4763,333,Electronic accessories,Credit card,2021-10-15,2021,10,2021-10-17,2021,10,2021-10-24,2021,10,2021-11-06,2021,11,4763,1,Team Alpha,4,0.10,698.94,1092.10,982.89,283.95,9
17655,In-Store,0,0,null,"Houston, TX",71,1001,305,Male,4764,333,Electronic accessories,Cash,2022-02-16,2022,2,2022-03-08,2022,3,2022-03-10,2022,3,2022-03-18,2022,3,4764,1,Team Alpha,6,0.08,1924.98,3155.70,2919.02,994.04,2
17662,In-Store,0,0,null,"Houston, TX",72,1001,360,Male,4765,333,Electronic accessories,Cash,2020-08-18,2020,8,2020-09-14,2020,9,2020-09-23,2020,9,2020-10-06,2020,10,4765,1,Team Alpha,1,0.08,2304.60,3906.10,3613.14,1308.54,6
17686,In-Store,0,0,null,"Houston, TX",73,1001,486,Female,4766,333,Electronic accessories,Cash,2021-04-12,2021,4,2021-04-21,2021,4,2021-04-23,2021,4,2021-04-28,2021,4,4766,1,Team Alpha,5,0.10,534.33,971.50,874.35,340.02,10
17692,In-Store,0,0,null,"Houston, TX",74,1001,508,Male,4767,333,Electronic accessories,Ewallet,2020-02-10,2020,2,2020-02-18,2020,2,2020-02-21,2020,2,2020-03-07,2020,3,4767,1,Team Alpha,3,0.08,561.73,877.70,811.87,250.14,7
17706,In-Store,0,0,null,"Houston, TX",75,1001,621,Female,4768,333,Electronic accessories,Credit card,2020-01-11,2020,1,2020-02-09,2020,2,2020-02-17,2020,2,2020-02-29,2020,2,4768,1,Team Alpha,1,0.08,3185.65,3932.90,3637.93,452.28,5
17712,In-Store,0,0,null,"Houston, TX",76,1001,672,Female,4769,333,Electronic accessories,Credit card,2022-06-26,2022,6,2022-07-12,2022,7,2022-07-16,2022,7,2022-07-19,2022,7,4769,1,Team Alpha,1,0.10,857.06,1098.80,988.92,131.86,5
17717,In-Store,0,0,null,"Houston, TX",77,1001,703,Female,4770,333,Electronic accessories,Cash,2020-02-05,2020,2,2020-02-11,2020,2,2020-02-19,2020,2,2020-02-27,2020,2,4770,1,Team Alpha,3,0.05,125.96,268.00,254.60,128.64,3
17730,In-Store,0,0,null,"Houston, TX",78,1001,764,Female,4771,333,Electronic accessories,Ewallet,2020-03-20,2020,3,2020-03-31,2020,3,2020-04-05,2020,4,2020-04-15,2020,4,4771,1,Team Alpha,6,0.30,500.49,1112.20,778.54,278.05,7
17732,In-Store,0,0,null,"Houston, TX",79,1001,799,Male,4772,333,Electronic accessories,Cash,2022-07-11,2022,7,2022-07-15,2022,7,2022-07-20,2022,7,2022-08-02,2022,8,4772,1,Team Alpha,1,0.08,1966.32,3390.20,3135.94,1169.62,3
17738,In-Store,0,0,null,"Houston, TX",80,1001,827,Female,4773,333,Electronic accessories,Credit card,2022-05-10,2022,5,2022-05-23,2022,5,2022-05-24,2022,5,2022-05-30,2022,5,4773,1,Team Alpha,2,0.15,1110.79,1882.70,1600.30,489.51,2
17751,In-Store,0,0,null,"Houston, TX",81,1001,899,Female,4774,333,Electronic accessories,Credit card,2020-06-01,2020,6,2020-06-24,2020,6,2020-06-25,2020,6,2020-07-09,2020,7,4774,1,Team Alpha,3,0.08,1331.63,2512.50,2324.06,992.43,2
17753,In-Store,0,0,null,"Houston, TX",82,1001,907,Male,4775,333,Electronic accessories,Cash,2021-10-28,2021,10,2021-11-20,2021,11,2021-11-25,2021,11,2021-11-29,2021,11,4775,1,Team Alpha,6,0.10,147.67,194.30,174.87,27.20,1
17780,In-Store,0,0,null,"Houston, TX",83,1001,1031,Female,4776,333,Electronic accessories,Credit Card,2022-03-05,2022,3,2022-03-24,2022,3,2022-03-27,2022,3,2022-03-30,2022,3,4776,1,Team Alpha,2,0.05,337.68,703.50,668.33,330.65,5
17798,In-Store,0,0,null,"Los Angeles, CA",84,2001,1169,Male,4777,333,Electronic accessories,Cash,2020-04-21,2020,4,2020-05-11,2020,5,2020-05-16,2020,5,2020-05-21,2020,5,4777,1,Team Alpha,7,0.10,124.35,214.40,192.96,68.61,4
17803,In-Store,0,0,null,"Los Angeles, CA",85,2001,1186,Male,4778,333,Electronic accessories,Ewallet,2022-06-28,2022,6,2022-07-22,2022,7,2022-07-25,2022,7,2022-08-09,2022,8,4778,1,Team Alpha,8,0.30,2521.55,3879.30,2715.51,193.96,2
17822,In-Store,0,0,null,"Los Angeles, CA",86,2001,1299,Female,4779,333,Electronic accessories,Cash,2020-12-26,2020,12,2021-01-16,2021,1,2021-01-24,2021,1,2021-02-02,2021,2,4779,1,Team Alpha,4,0.20,739.41,1192.60,954.08,214.67,1
17837,In-Store,0,0,null,"Los Angeles, CA",87,2001,1370,Male,4780,333,Electronic accessories,Ewallet,2022-05-29,2022,5,2022-06-11,2022,6,2022-06-17,2022,6,2022-06-18,2022,6,4780,1,Team Alpha,5,0.08,1645.79,3577.80,3309.47,1663.68,8
17839,In-Store,0,0,null,"Los Angeles, CA",88,2001,1389,Female,4781,333,Electronic accessories,Cash,2021-05-19,2021,5,2021-06-13,2021,6,2021-06-14,2021,6,2021-06-26,2021,6,4781,1,Team Alpha,6,0.08,2910.88,3731.90,3452.01,541.13,3
17847,In-Store,0,0,null,"Los Angeles, CA",89,2001,1425,Male,4782,333,Electronic accessories,Cash,2021-10-10,2021,10,2021-10-12,2021,10,2021-10-19,2021,10,2021-11-03,2021,11,4782,1,Team Alpha,2,0.20,741.69,1809.00,1447.20,705.51,4
17848,In-Store,0,0,null,"Los Angeles, CA",90,2001,1430,Male,4783,333,Electronic accessories,Ewallet,2021-12-25,2021,12,2022-01-03,2022,1,2022-01-06,2022,1,2022-01-13,2022,1,4783,1,Team Alpha,5,0.05,3337.94,6298.00,5983.10,2645.16,1
17853,In-Store,0,0,null,"Los Angeles, CA",91,2001,1453,Female,4784,333,Electronic accessories,Cash,2020-10-02,2020,10,2020-10-23,2020,10,2020-10-26,2020,10,2020-10-30,2020,10,4784,1,Team Alpha,4,0.30,95.54,207.70,145.39,49.85,7
17880,In-Store,0,0,null,"Los Angeles, CA",92,2001,1655,Female,4785,333,Electronic accessories,Ewallet,2022-02-26,2022,2,2022-03-06,2022,3,2022-03-07,2022,3,2022-03-12,2022,3,4785,1,Team Alpha,4,0.08,820.48,1051.90,973.01,152.53,4
17891,In-Store,0,0,null,"Los Angeles, CA",93,2001,1704,Male,4786,333,Electronic accessories,Ewallet,2020-09-06,2020,9,2020-09-17,2020,9,2020-09-22,2020,9,2020-10-06,2020,10,4786,1,Team Alpha,3,0.10,1751.11,3242.80,2918.52,1167.41,4
17895,In-Store,0,0,null,"Los Angeles, CA",94,2001,1733,Female,4787,333,Electronic accessories,Cash,2021-04-12,2021,4,2021-04-30,2021,4,2021-05-06,2021,5,2021-05-12,2021,5,4787,1,Team Alpha,6,0.40,540.29,844.20,506.52,-33.77,8
17896,In-Store,0,0,null,"Los Angeles, CA",95,2001,1735,Female,4788,333,Electronic accessories,Ewallet,2022-12-29,2022,12,2023-01-25,2023,1,2023-01-30,2023,1,2023-02-12,2023,2,4788,1,Team Alpha,8,0.30,2736.48,5822.30,4075.61,1339.13,3
17922,In-Store,0,0,null,"Los Angeles, CA",96,2001,1880,Male,4789,333,Electronic accessories,Ewallet,2020-01-03,2020,1,2020-01-22,2020,1,2020-01-27,2020,1,2020-02-08,2020,2,4789,1,Team Alpha,7,0.40,1839.02,3912.80,2347.68,508.66,2
17924,In-Store,0,0,null,"Los Angeles, CA",97,2001,1885,Male,4790,333,Electronic accessories,Credit Card,2020-07-20,2020,7,2020-07-26,2020,7,2020-07-27,2020,7,2020-07-30,2020,7,4790,1,Team Alpha,2,0.05,477.38,837.50,795.63,318.25,1
17928,In-Store,0,0,null,"Los Angeles, CA",98,2001,1893,Female,4791,333,Electronic accessories,Ewallet,2022-12-13,2022,12,2022-12-16,2022,12,2022-12-20,2022,12,2023-01-02,2023,1,4791,1,Team Alpha,7,0.05,1022.69,1929.60,1833.12,810.43,7
